releve,easting,northing,vegetation
R01,257004.4,2152222.8,Koa-ʻōhiʻa forest
R02,257424.4,2151037.8,ʻŌhiʻa scrub
R03,257534.4,2150197.8,ʻŌhiʻa scrub
R04,259494.4,2151802.8,ʻŌhiʻa forest
R05,258879.4,2151397.8,ʻŌhiʻa forest
R06,257084.4,2150702.8,ʻŌhiʻa scrub
R07,256834.4,2151817.8,ʻŌhiʻa scrub
R08,258819.4,2151732.8,Grass and savanna
R09,258414.4,2151577.8,Kīpuka forest
R10,257284.4,2152132.8,Koa-ʻōhiʻa forest
R11,258074.4,2151482.8,Kīpuka forest
R12,258049.4,2151042.8,Grass and savanna
