name,month,tavg,prec,m
Rome,1,7.71,78,62.58
Rome,2,8.53,71,53.94
Rome,3,10.71,62,40.58
Rome,4,13.16,62,35.68
Rome,5,17.66,45,9.68
Rome,6,21.72,33,-10.44
Rome,7,24.7,18,-31.4
Rome,8,25.01,36,-14.02
Rome,9,21.34,68,25.32
Rome,10,16.8,92,58.4
Rome,11,11.72,106,82.56
Rome,12,8.62,89,71.76
