name,lat,lon,cool_frac,SI,totP
Vancouver,49.28,-123.12,0.693,0.436,1727
Seattle,47.61,-122.33,0.723,0.464,1004
Portland,45.52,-122.68,0.748,0.524,1129
San Francisco,37.77,-122.42,0.897,0.837,783
Los Angeles,34.05,-118.24,0.929,0.901,406
San Diego,32.72,-117.16,0.904,0.821,301
Ensenada,31.87,-116.6,0.892,0.807,295
Mazatlan,23.25,-106.41,0.108,1.044,823
Guadalajara,20.67,-103.35,0.116,1.043,861
Acapulco,16.86,-99.88,0.039,1.041,1273
