"state","odo_from","odo_to","tire","source"
"narrow",4,13510,"factory fitment, size not yet established","purchase 2010-07-23, odometer 4"
"wide",13510,34190,"wider set bought for crosswind control; size not yet established","margin note in the travel log: NEW WHEELS @ 13510 miles"
"X-Ice",34190,39739,"185/55/15 Michelin X-Ice (WINTER tire), 4 off, on 5 Pure wheels (2 front, 2 rear, +1 front spare with a 175/55/15 Kumho)","Madness Autoworks receipt #5951, 6/18/2013, work order mileage 34,190 (pages 3 and 4 agree; page 1 hand-scrawl is ambiguous)"
"wide",39739,71181,"the wide set refitted","receipt page 2: 'Friday Sept 6th to re-install tires' -- and the fuel log independently records a Signal Hill fill on 2013-09-06 at odometer 39,739"
