market,district,elevation_m,stalls
1,Uplands,380,18
2,Harbour,12,24
3,Uplands,420,15
4,Harbour,8,22
5,Uplands,350,12
6,Harbour,15,26
7,Uplands,400,17
8,Harbour,10,25
9,Crossroads,120,6
10,Crossroads,95,7
