species,Site_1,Site_2,Site_3,Site_4,Site_5,Site_6
Sp_A,5,5,4,0,0,0
Sp_B,4,5,5,0,0,0
Sp_C,5,4,4,0,0,0
Sp_D,0,0,0,4,5,5
Sp_E,0,0,0,5,4,5
Sp_F,0,0,0,4,4,5
