island,population,area,density
Oahu,"953,000",597,"1,600"
Hawaii,"185,000","4,028",46
Maui,"155,000","1,173",132
Kauai,"67,000",620,108
Molokai,"7,300",260,28
Lanai,"3,100",141,22
Kahoolawe,0,45,0
