Abbreviation,Latitude,Longitude
P,   48.8566,   2.3522
K,   51.4839,  -0.3081
NY,  40.7128, -74.0060
MO,  38.6270, -90.1994
LE,  59.9343,  30.3351
G,   46.2044,   6.1432
W,   48.2082,  16.3738
US,  38.9072, -77.0369
HUH, 42.3770, -71.1167
