Community,Mean_Taxa
"Dong Bang",250
"Hai",380
"Huai Bang",325
"Khan Bo",200
"Kho Khieo",160
"Khok Phon Yang",90
"Khon Khwang",230
"Kut Prao",240
"Lao",100
"Maung khang",110
"Na Bo",190
"Non Udom",125
"Nong Kung Yai",55
"Nong Paen",150
"Phak Top",105
"Phon Thong",160
"Phu Chae",180
"Pla Lo",110
"Pla Lo Noi",95
"Tat Phon Phai",145
"That (Tad Patana)",215
