Stop, City, State, latitude, longitude,city-state
141, San Marcos, California,33.140862,-117.158821,"' San Marcos,  California'"
142, San Marcos, California,33.140862,-117.158821,"' San Marcos,  California'"
143, Kramer Junction, California,34.992119,-117.541496,"' Kramer Junction,  California'"
144, Bridgeport, California,38.255909,-119.227638,"' Bridgeport,  California'"
145, Mt Shasta, California,41.313068,-122.312561,"' Mt Shasta,  California'"
146, Reedsport, Oregon,43.702229,-124.097672,"' Reedsport,  Oregon'"
147, Raymond, Washington,46.688068,-123.729591,"' Raymond,  Washington'"
148, Bellingham, Washington,48.752350,-122.471222,"' Bellingham,  Washington'"
149, Haines Junction, Yukon,60.754101,-137.513001,"' Haines Junction,  Yukon'"
150, Tok, Alaska,63.335671,-142.983795,"' Tok,  Alaska'"
151, Fairbanks, Alaska,64.845078,-147.722061,"' Fairbanks,  Alaska'"
152, Yukon River Crossing, Alaska,65.881106,-149.720677,"' Yukon River Crossing,  Alaska'"
153, Yukon River Crossing, Alaska,65.881106,-149.720677,"' Yukon River Crossing,  Alaska'"
154, Ester, Alaska,64.846474,-148.015656,"' Ester,  Alaska'"
155, Trapper Creek, Alaska,62.318932,-150.235596,"' Trapper Creek,  Alaska'"
156, Sterling, Alaska,60.537460,-150.763031,"' Sterling,  Alaska'"
157, Homer, Alaska,59.646561,-151.544235,"' Homer,  Alaska'"
158, Lakewood, Washington,47.161949,-122.514931,"' Lakewood,  Washington'"
159, Oakland, Oregon,43.422669,-123.296883,"' Oakland,  Oregon'"
160, Redding, California,40.587589,-122.392609,"' Redding,  California'"
161, San Mateo, California,37.547031,-122.314827,"' San Mateo,  California'"
162, Morro Bay, California,35.366921,-120.847107,"' Morro Bay,  California'"
163, Signal Hill, California,33.796768,-118.167702,"' Signal Hill,  California'"
164,San Marcos,California,33.143372,-117.166145,"'San Marcos, California'"
165,San Marcos,California,33.143372,-117.166145,"'San Marcos, California'"
166,San Marcos,California,33.143372,-117.166145,"'San Marcos, California'"
167,San Marcos,California,33.143372,-117.166145,"'San Marcos, California'"
168,Barstow,California,34.895796,-117.017283,"'Barstow, California'"
169,Las Vegas,Nevada,36.169941,-115.139830,"'Las Vegas, Nevada'"
170,Williams,Arizona,35.249457,-112.191003,"'Williams, Arizona'"
171,Holbrook,Arizona,34.902248,-110.158177,"'Holbrook, Arizona'"
172,Deming,Arizona,32.001199,-109.329506,"'Deming, Arizona'"
173,Van Horn,Texas,31.039856,-104.830770,"'Van Horn, Texas'"
174,Ozona,Texas,30.708889,-101.204167,"'Ozona, Texas'"
175,San Antonio,Texas,29.424122,-98.493628,"'San Antonio, Texas'"
176,Beaumont,Texas,30.080174,-94.126556,"'Beaumont, Texas'"
177,New Orleans,Louisiana,29.951066,-90.071532,"'New Orleans, Louisiana'"
178,Atmore,Alabama,31.023792,-87.493871,"'Atmore, Alabama'"
179,Trussville,Alabama,33.619825,-86.608876,"'Trussville, Alabama'"
180,Madisonville,Tennessee,35.519798,-84.363534,"'Madisonville, Tennessee'"
181,Conover,North Carolina,35.706522,-81.218693,"'Conover, North Carolina'"
182,Colonial Heights,Virginia,37.244039,-77.410261,"'Colonial Heights, Virginia'"
183,Bellmawr,New Jersey,39.867613,-75.094618,"'Bellmawr, New Jersey'"
184,Douglas,Massachusetts,42.054345,-71.739379,"'Douglas, Massachusetts'"
185,Lebanon,New Hampshire,43.642293,-72.251757,"'Lebanon, New Hampshire'"
186,Yarmouth,Maine,43.800621,-70.186723,"'Yarmouth, Maine'"
187,Calais,Maine,45.188963,-67.278604,"'Calais, Maine'"
188,Timber River,New Brunswick,46.067188,-64.058957,"'Timber River, New Brunswick'"
189,Belle Cote,Nova Scotia,46.444432,-61.092484,"'Belle Cote, Nova Scotia'"
190,Sydney Mines,Nova Scotia,46.242273,-60.230613,"'Sydney Mines, Nova Scotia'"
191,Corner Brook,Newfoundland,48.948997,-57.950273,"'Corner Brook, Newfoundland'"
192,Woody Point,Newfoundland,49.502729,-57.916273,"'Woody Point, Newfoundland'"
193,Port Aux Basques,Newfoundland,47.572115,-59.136429,"'Port Aux Basques, Newfoundland'"
194,Aulac,New Brunswick,45.868455,-64.282426,"'Aulac, New Brunswick'"
195,Beardsley,New Brunswick,46.123072,-67.616475,"'Beardsley, New Brunswick'"
196,St. Jean-Pont Joli,Quebec,47.215381,-70.269417,"'St. Jean-Pont Joli, Quebec'"
197,Saint Lazare,Quebec,45.400000,-74.133333,"'Saint Lazare, Quebec'"
198,North Bay,Ontario,46.309115,-79.460820,"'North Bay, Ontario'"
199,Sault St. Marie,Ontario,46.521858,-84.346090,"'Sault St. Marie, Ontario'"
200,Wawa,Ontario,47.992392,-84.771007,"'Wawa, Ontario'"
201,Shuniah,Ontario,48.671288,-88.665048,"'Shuniah, Ontario'"
202,Dryden,Ontario,49.780094,-92.836959,"'Dryden, Ontario'"
203,Brandon,Manitoba,49.848471,-99.950090,"'Brandon, Manitoba'"
204,Regina,Saskatchwan,50.454722,-104.606667,"'Regina, Saskatchwan'"
205,Maple Creek,Saskatchwan,49.906595,-109.480174,"'Maple Creek, Saskatchwan'"
206,Blairmore,Alberta,49.607333,-114.435524,"'Blairmore, Alberta'"
207,Missoula,Montana,46.862500,-114.011667,"'Missoula, Montana'"
208,Dayton,Washington,46.323753,-117.972437,"'Dayton, Washington'"
209,Canyon City,Oregon,44.389600,-118.950232,"'Canyon City, Oregon'"
210,Alturas,California,41.487115,-120.542456,"'Alturas, California'"
211,Bridgeport,California,38.255705,-119.231393,"'Bridgeport, California'"
212,Landcaster,California,34.686785,-118.154163,"'Landcaster, California'"
