"odometer","flag","errata","basis"
41366,"partial_fill","L25","2014 scan p1: 1.997 gal"
71181,"partial_fill","L26","2.496 gal; same mechanism"
46421,"partial_fill","L27","2014 scan p5: Kim annotated 'Reg. (partial)', round $20.00"
58213,"partial_fill","L11","AMEX: 3.641 gal, a top-up the day before departure"
