"date","start_time","start_temp_F","start_odo","start_city","end_time","end_temp_F","end_odo","end_city","miles_written","odo_miles","tz_shift_hr","raw_hours","elapsed_hours","gross_mph","source_page","note"
"2012-05-03","05:37",56,24197,"Lake San Marcos CA","15:06",89,24608,"Phoenix AZ",410.6,411,0,9.48,9.48,43.4,1,""
"2012-05-04","06:00",65,24608,"Phoenix AZ","19:23",73,24740,"Sedona AZ",131.9,132,0,13.38,13.38,9.9,1,""
"2012-05-05","11:14",79,24740,"Sedona AZ","13:34",89,24845,"Phoenix AZ",105.4,105,0,2.33,2.33,45.1,1,""
"2012-05-06","11:31",83,24861,"Phoenix AZ","14:30",,24971,"Sedona AZ",110.4,110,0,2.98,2.98,36.9,1,"end temp blank"
"2012-05-07","07:44",57,24971,"Sedona AZ","16:15",61,25087,"Grand Canyon AZ",116,116,0,8.52,8.52,13.6,1,""
"2012-05-08","09:18",55,25092,"Grand Canyon AZ","16:35",79,25303,"Kingman AZ",211.1,211,0,7.28,7.28,29,1,""
"2012-05-09","06:27",59,25308,"Kingman AZ","13:20",69,25654,"Lake San Marcos CA",,346,0,6.88,6.88,50.3,2,"trip total 1,457 mi written in margin: 25654 - 24197 = 1457, checks"
