"date","start_time","start_temp_F","start_odo","start_city","end_time","end_temp_F","end_odo","end_city","miles_written","odo_miles","tz_shift_hr","raw_hours","elapsed_hours","gross_mph","source_page","note"
"2017-01-05","11:41",38,67954,"Eugene OR","17:45",40,68170,"Brookings OR",,216,0,6.07,6.07,35.6,1,""
"2017-01-06","08:31",32,68170,"Brookings OR","22:10",46,68732,"Paso Robles CA",,562,0,13.65,13.65,41.2,1,"562 mi. The 22:04 Paso Robles fill at odometer 68,731 sits one mile and six minutes before this arrival."
"2017-01-07","06:42",48,68732,"Paso Robles CA","13:28",71,69045,"Vista CA",,313,0,6.77,6.77,46.2,1,"Kim wrote RAIN under the start temperature"
