"car","label","phase","start","end","where","source"
"TwoRed","TwoRed",1,"2010-07-23","2017-05-22","Mainland","Matson shipping receipt BK 9811942, voyage 377: dropped at SEA Terminal 25 on 5/22/2017; photo at the terminal 13:09 that afternoon; last mainland fill Toledo WA the same day"
"TwoRed","TwoRed",2,"2017-06-09","","Hawaii","Matson receipt, ESTIMATED AVAILABILITY DATE 06/09/2017 at HON -- estimated, not a pickup record"
"Two4Two/TwoFer","TwoFer",1,"2014-03-22","2017-03-22","Hawaii","36-month lease, Mercedes-Benz of Honolulu; Honolulu only"
"Bordeaux","Bordeaux",1,"2019-04-01","","Hawaii","temporary registration 04/01/19, Honolulu; leased then bought out"
"Creamsicle","Creamsicle",1,"2021-09-15","2024-10-22","Mainland","DocuSign purchase 2021-09-15 Modern Motorcars MO; handover photographed 2024-10-22 15:58 -- CA plate 8YEL786 in hand, WI plate AVW-1727 fitted"
