"date","City","State","Brand","Price/Gallon","Odometer","Gallons","Price","leg_miles","mpg","pump_resid","partial_fill","odometer_unsourced","units_caution","corrections","corr_source"
2016-05-25,"Lake San Marcos","California","Shell",2.999,58213,3.641,10.92,119,32.68,0,TRUE,FALSE,FALSE,"L11a:Gallons L11b:Price","; AMEX Jun-2016 $10.92; AMEX Jun-2016"
2016-05-26,"Blythe","California","Quick Check West",3.099,58415,4.531,14.04,202,44.58,0,FALSE,FALSE,FALSE,"L11c:Gallons L11d:Price L55a:Brand","; pump receipt, Blythe; pump receipt, Blythe; pump receipt"
2016-05-27,"Winslow","Arizona","Hallum Store",2.439,58746,6.346,15.48,331,52.16,0,FALSE,FALSE,FALSE,"L38:Price L55b:Brand","; pump receipt, Winslow; pump receipt"
2016-05-28,"Monticello","Utah","Shell",2.699,59013,7.283,19.66,267,36.66,0,FALSE,FALSE,FALSE,"",""
2016-05-29,"Gypsum","Colorado","CostCo",2.579,59314,6.002,15.48,301,50.15,0,FALSE,FALSE,FALSE,"",""
2016-05-30,"Big Springs","Nebraska","Flying J",2.659,59627,5.585,14.85,313,56.04,0,FALSE,FALSE,FALSE,"",""
2016-05-31,"Lincoln","Nebraska","Phillips 66",3.069,59931,7.068,21.69,304,43.01,0,FALSE,FALSE,FALSE,"",""
2016-06-01,"Burlington","Iowa","Hy-Vse",2.929,60242,6.998,20.5,311,44.44,0,FALSE,FALSE,FALSE,"",""
2016-06-02,"Mt Vernon","Illinois","Phillips 66",2.789,60561,7.002,19.53,319,45.56,0,FALSE,FALSE,FALSE,"",""
2016-06-03,"Goodlettsville","Tennessee","Shell",2.749,60806,5.821,16,245,42.09,0,FALSE,FALSE,FALSE,"",""
2016-06-04,"London","Kentucky","Valero",2.789,61054,5.818,16.23,248,42.63,0,FALSE,FALSE,FALSE,"",""
2016-06-09,"Ft. Oglethorpe","Georgia","CostCo",2.349,61339,6.911,16.23,285,41.24,0,FALSE,FALSE,FALSE,"L53:State","; AMEX merchant city"
2016-06-10,"Cherokee","North Carolina","Shell",3.049,61610,6.002,18.3,271,45.15,0,FALSE,FALSE,FALSE,"",""
2016-06-11,"Pikeville","Kentucky","Speedway",2.969,61882,6.337,18.81,272,42.92,0,FALSE,FALSE,FALSE,"",""
2016-06-12,"Lewisburg","West Virginia","Shell",2.959,62141,6.572,19.45,259,39.41,0,FALSE,FALSE,FALSE,"",""
2016-06-13,"Chesapeake","Virginia","Shell",2.799,62441,7.302,20.44,300,41.08,0,FALSE,FALSE,FALSE,"",""
2016-06-14,"Morehead City","North Carolina","Exxon",2.699,62703,6.113,16.5,262,42.86,0,FALSE,FALSE,FALSE,"",""
2016-06-14,"Mount Pleasant","South Carolina","Shell",2.849,62962,6.414,18.27,259,40.38,0,FALSE,FALSE,FALSE,"",""
2016-06-15,"Madison","Georgia","Pilot",2.739,63199,6.598,18.07,237,35.92,0,FALSE,FALSE,FALSE,"",""
2016-06-16,"McMinnville","Tennessee","Marathon",2.959,63463,6.194,18.33,264,42.62,0,FALSE,FALSE,FALSE,"",""
2016-06-17,"Carterville","Illinois","Hucks",2.559,63725,6.582,16.84,262,39.81,0,FALSE,FALSE,FALSE,"",""
2016-06-18,"Boonville","Missouri","Phillips 66",2.529,63965,6.226,15.75,240,38.55,0,FALSE,FALSE,FALSE,"",""
2016-06-19,"Junction City","Kansas","Shell",2.959,64246,7.241,21.43,281,38.81,0,FALSE,FALSE,FALSE,"",""
2016-06-19,"Oakley","Kansas","Shell",2.799,64457,6.42,17.97,211,32.87,0,FALSE,FALSE,FALSE,"",""
2016-06-19,"Watkins","Colorado","Shell",2.939,64678,6.449,18.95,221,34.27,0,FALSE,FALSE,FALSE,"",""
2016-06-20,"Gypsum","Colorado","CostCo",2.659,64881,4.981,13.24,203,40.75,0,FALSE,FALSE,FALSE,"",""
2016-06-21,"Green River","Utah","Sinclair",2.599,65088,4.224,10.98,207,49.01,0,FALSE,FALSE,FALSE,"",""
2016-06-22,"St. George","Utah","Sinclair",2.689,65370,7.239,19.47,282,38.96,0,FALSE,FALSE,FALSE,"",""
2016-06-22,"Barstow","California","Chevron",3.389,65637,7.327,24.83,267,36.44,0,FALSE,FALSE,FALSE,"",""
2016-06-25,"Lake San Marcos","California","Shell",2.959,65789,3.591,10.63,152,42.33,0,FALSE,FALSE,FALSE,"L07:State","; spelling"
2016-07-18,"San Marcos","California","CostCo",2.729,66007,5.928,16.18,218,36.77,0,FALSE,FALSE,FALSE,"",""
2016-08-02,"San Marcos","California","Shell",2.959,66242,6.921,20.48,235,33.95,0,FALSE,FALSE,FALSE,"",""
2016-08-17,"Carlsbad","California","CostCo",2.579,66373,5.195,13.4,131,25.22,0,FALSE,FALSE,FALSE,"",""
2016-09-22,"Carlsbad","California","CostCo",2.759,66589,6.91,19.06,216,31.26,0,FALSE,FALSE,FALSE,"",""
2016-09-24,"Goleta","California","Chevron",3.199,66843,6.798,21.74,254,37.36,-0.01,FALSE,FALSE,FALSE,"",""
2016-09-25,"Santa Cruz","California","CostCo",2.779,67111,6.916,19.22,268,38.75,0,FALSE,FALSE,FALSE,"",""
2016-09-26,"Piercy","California","Patriot",3.009,67408,6.834,21.18,297,43.46,0.62,FALSE,FALSE,FALSE,"",""
2016-09-27,"Coos Bay","Oregon","Mobil",2.699,67691,6.872,18.55,283,41.18,0,FALSE,FALSE,FALSE,"",""
2016-12-29,"Drain","Oregon","Chevron",2.929,67929,6.435,18.85,238,36.99,0,FALSE,FALSE,FALSE,"",""
2017-01-06,"Crescent City","California","Chevron",3.199,68197,6.06,19.39,268,44.22,0,FALSE,FALSE,FALSE,"",""
2017-01-06,"Santa Rosa","California","Chevron",3.099,68484,7.603,23.56,287,37.75,0,FALSE,FALSE,FALSE,"",""
2017-01-06,"Paso Robles","California","Chevron",3.199,68731,5.915,18.92,247,41.76,0,FALSE,FALSE,FALSE,"",""
2017-01-07,"Signal Hill","California","CostCo",2.739,68911,6.283,17.21,180,28.65,0,FALSE,FALSE,FALSE,"",""
2017-01-11,"Carlsbad","California","CostCo",2.899,69179,6.227,18.05,268,43.04,0,FALSE,FALSE,FALSE,"",""
2017-01-18,"Signal Hill","California",NA,2.719,69419,6.233,16.95,240,38.5,0,FALSE,FALSE,FALSE,"",""
2017-01-21,"San Bernardino","California","CostCo",2.739,69680,7.132,19.53,261,36.6,0,FALSE,FALSE,FALSE,"",""
2017-02-02,"Oxnard","California","CostCo",2.759,69892,5.206,14.36,212,40.72,0,FALSE,FALSE,FALSE,"",""
2017-02-03,"Gilroy","California","CostCo",2.799,70188,7.294,20.42,296,40.58,0,FALSE,FALSE,FALSE,"",""
2017-02-06,"Ft Bragg","California","Mobil",2.759,70450,5.993,16.53,262,43.72,0,FALSE,FALSE,FALSE,"",""
2017-02-06,"Brookings","Oregon","Fred Myers",2.699,70722,6.881,18.57,272,39.53,0,FALSE,FALSE,FALSE,"",""
2017-05-20,"Eugene","Oregon","CostCo",2.769,70949,4.333,12,227,52.39,0,FALSE,FALSE,FALSE,"",""
2017-05-22,"Toledo","Washington","Shell",3.379,71181,2.496,8.43,232,92.95,0,TRUE,FALSE,FALSE,"",""
