shot_seq,base_name,timestamp_precise,time_gap,SequenceNumber,file_types,has_jpg,has_raw,total_file_size,DateTimeOriginal,subsec,ExposureTime,FNumber,ISO,ExposureCompensation,ExposureMode,ExposureProgram,FocalLength,FocusMode,FocusDistance2,Orientation,LensModel,Model,ReleaseMode2,burst_id,burst_method,burst_size,burst_position,burst_original_size,burst_complete,burst_type,burst_group,file_number
131,A1205713,2025-09-27T13:23:24Z,0.11999988555908203,0,JPG+RAW,TRUE,TRUE,94922895,2025:09:27 13:23:24,59,0.00125,6.3,500,0,1,1,50,3,27.9669979562306,8,FE 50-150mm F2 GM,ILCE-1M2,92,2025:09:27 13:23:24,datetime_original,2,1,2,TRUE,quick_succession,124,1205713
132,A1205709,2025-09-27T13:23:28Z,4.06000018119812,0,JPG+RAW,TRUE,TRUE,98446855,2025:09:27 13:23:19,965,0.00125,6.3,500,0,1,1,50,3,19.7902985652216,8,FE 50-150mm F2 GM,ILCE-1M2,93,2025:09:27 13:23:19,datetime_original,2,2,2,TRUE,quick_succession,118,1205709
133,A1205710,2025-09-27T13:23:29Z,1.119999885559082,0,JPG+RAW,TRUE,TRUE,102676117,2025:09:27 13:23:20,977,0.00125,6.3,800,0,1,1,50,3,24.5646439858835,8,FE 50-150mm F2 GM,ILCE-1M2,93,2025:09:27 13:23:20,datetime_original,1,1,1,TRUE,quick_succession,125,1205710
134,A1205716,2025-09-27T13:23:30Z,0.5299999713897705,0,JPG+RAW,TRUE,TRUE,93782896,2025:09:27 13:23:26,430,0.00125,6.3,640,0,1,1,50,3,22.5300276527782,8,FE 50-150mm F2 GM,ILCE-1M2,93,2025:09:27 13:23:26,datetime_original,1,1,1,TRUE,quick_succession,126,1205716
135,A1205715,2025-09-27T13:23:31Z,1.309999942779541,0,JPG+RAW,TRUE,TRUE,92208924,2025:09:27 13:23:25,661,0.00125,6.3,400,0,1,1,50,3,20.6642762489505,8,FE 50-150mm F2 GM,ILCE-1M2,93,2025:09:27 13:23:25,datetime_original,1,1,1,TRUE,quick_succession,127,1205715
136,A1205717,2025-09-27T13:23:32Z,0.6200001239776611,0,JPG+RAW,TRUE,TRUE,84096495,2025:09:27 13:23:27,523,0.00125,6.3,640,0,1,1,50,3,1.13340443754951,1,FE 50-150mm F2 GM,ILCE-1M2,92,2025:09:27 13:23:27,datetime_original,2,1,2,TRUE,quick_succession,128,1205717
137,A1205714,2025-09-27T13:23:32Z,0.5899999141693115,0,JPG+RAW,TRUE,TRUE,92244570,2025:09:27 13:23:24,882,0.00125,6.3,400,0,1,1,50,3,25.65,8,FE 50-150mm F2 GM,ILCE-1M2,92,2025:09:27 13:23:24,datetime_original,2,2,2,TRUE,quick_succession,124,1205714
138,A1205718,2025-09-27T13:23:34Z,1.2300000190734863,0,JPG+RAW,TRUE,TRUE,90312132,2025:09:27 13:23:27,705,0.00125,6.3,640,0,1,1,50,3,0.961030907805353,1,FE 50-150mm F2 GM,ILCE-1M2,92,2025:09:27 13:23:27,datetime_original,2,2,2,TRUE,quick_succession,128,1205718
139,A1205719,2025-09-27T13:23:46Z,12.880000114440918,0,JPG+RAW,TRUE,TRUE,75135233,2025:09:27 13:23:39,793,0.00125,6.3,1000,0,1,1,150,3,1.70620746558121,1,FE 50-150mm F2 GM,ILCE-1M2,92,2025:09:27 13:23:39,datetime_original,1,1,1,TRUE,quick_succession,129,1205719
140,A1205721,2025-09-27T13:23:51Z,4.3399999141693115,0,JPG+RAW,TRUE,TRUE,97394385,2025:09:27 13:23:50,127,0.00125,6.3,1000,0,1,1,50,3,13.4167044150709,8,FE 50-150mm F2 GM,ILCE-1M2,93,2025:09:27 13:23:50,datetime_original,1,1,1,TRUE,quick_succession,130,1205721
141,A1205720,2025-09-27T13:23:51Z,0.6700000762939453,0,JPG+RAW,TRUE,TRUE,87656802,2025:09:27 13:23:48,394,0.00125,6.3,1250,0,1,1,50,3,5.43173705762377,8,FE 50-150mm F2 GM,ILCE-1M2,92,2025:09:27 13:23:48,datetime_original,1,1,1,TRUE,quick_succession,131,1205720
142,A1205722,2025-09-27T13:24:02Z,10.539999961853027,0,JPG+RAW,TRUE,TRUE,95478990,2025:09:27 13:23:57,548,0.00125,6.3,2000,0,1,1,50,3,17.3844710007922,1,FE 50-150mm F2 GM,ILCE-1M2,92,2025:09:27 13:23:57,datetime_original,2,1,2,TRUE,quick_succession,132,1205722
143,A1205723,2025-09-27T13:24:06Z,4.289999961853027,0,JPG+RAW,TRUE,TRUE,94569380,2025:09:27 13:23:57,977,0.00125,6.3,1600,0,1,1,50,3,27.9669979562306,1,FE 50-150mm F2 GM,ILCE-1M2,92,2025:09:27 13:23:57,datetime_original,2,2,2,TRUE,quick_succession,132,1205723
144,A1205724,2025-09-27T13:25:37Z,90.51999998092651,0,JPG+RAW,TRUE,TRUE,72046652,2025:09:27 13:25:34,329,0.00125,6.3,320,0,1,1,100,3,2.36274169979695,8,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:25:34,datetime_original,1,1,1,TRUE,quick_succession,133,1205724
145,A1205725,2025-09-27T13:26:07Z,30.420000076293945,0,JPG+RAW,TRUE,TRUE,67770441,2025:09:27 13:26:07,71,0.00125,6.3,640,0,1,1,150,3,1.07532649524476,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:07,datetime_original,2,1,2,TRUE,quick_succession,134,1205725
146,A1205727,2025-09-27T13:26:08Z,0.8199999332427979,0,JPG+RAW,TRUE,TRUE,67598998,2025:09:27 13:26:08,53,0.00125,6.3,640,0,1,1,150,3,1.07532649524476,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:08,datetime_original,3,1,3,TRUE,quick_succession,135,1205727
147,A1205728,2025-09-27T13:26:11Z,2.9100000858306885,0,JPG+RAW,TRUE,TRUE,67082554,2025:09:27 13:26:08,344,0.00125,6.3,640,0,1,1,150,3,1.07532649524476,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:08,datetime_original,3,2,3,TRUE,quick_succession,135,1205728
148,A1205726,2025-09-27T13:26:13Z,1.8399999141693115,0,JPG+RAW,TRUE,TRUE,66978437,2025:09:27 13:26:07,628,0.00125,6.3,640,0,1,1,150,3,1.07532649524476,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:07,datetime_original,2,2,2,TRUE,quick_succession,134,1205726
149,A1205732,2025-09-27T13:26:14Z,0.9600000381469727,0,JPG+RAW,TRUE,TRUE,71541190,2025:09:27 13:26:14,24,0.00125,6.3,1600,0,1,1,150,3,0.962553328162136,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:14,datetime_original,3,1,3,TRUE,quick_succession,136,1205732
150,A1205729,2025-09-27T13:26:14Z,0.3299999237060547,0,JPG+RAW,TRUE,TRUE,66908735,2025:09:27 13:26:08,657,0.00125,6.3,640,0,1,1,150,3,1.07532649524476,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:08,datetime_original,3,3,3,TRUE,quick_succession,135,1205729
151,A1205730,2025-09-27T13:26:14Z,0.26999998092651367,0,JPG+RAW,TRUE,TRUE,67438428,2025:09:27 13:26:11,384,0.00125,6.3,640,0,1,1,150,3,1.11629419916955,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:11,datetime_original,2,1,2,TRUE,quick_succession,137,1205730
152,A1205733,2025-09-27T13:26:17Z,2.1700000762939453,0,JPG+RAW,TRUE,TRUE,71573276,2025:09:27 13:26:14,301,0.00125,6.3,1600,0,1,1,150,3,0.962553328162136,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:14,datetime_original,3,2,3,TRUE,quick_succession,136,1205733
153,A1205737,2025-09-27T13:26:17Z,0.7100000381469727,0,JPG+RAW,TRUE,TRUE,71921075,2025:09:27 13:26:16,172,0.00125,6.3,1600,0,1,1,150,3,0.962553328162136,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:16,datetime_original,2,1,2,TRUE,quick_succession,138,1205737
154,A1205731,2025-09-27T13:26:17Z,0.059999942779541016,0,JPG+RAW,TRUE,TRUE,67023985,2025:09:27 13:26:11,678,0.00125,6.3,640,0,1,1,150,3,1.11629419916955,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:11,datetime_original,2,2,2,TRUE,quick_succession,137,1205731
155,A1205735,2025-09-27T13:26:18Z,0.7599999904632568,0,JPG+RAW,TRUE,TRUE,72253489,2025:09:27 13:26:15,354,0.00125,6.3,1600,0,1,1,150,3,0.962553328162136,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:15,datetime_original,2,1,2,TRUE,quick_succession,139,1205735
156,A1205734,2025-09-27T13:26:19Z,1.3299999237060547,0,JPG+RAW,TRUE,TRUE,72411431,2025:09:27 13:26:14,587,0.00125,6.3,1600,0,1,1,150,3,0.962553328162136,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:14,datetime_original,3,3,3,TRUE,quick_succession,136,1205734
157,A1205738,2025-09-27T13:26:20Z,0.820000171661377,0,JPG+RAW,TRUE,TRUE,72159120,2025:09:27 13:26:16,469,0.00125,6.3,1600,0,1,1,150,3,0.962553328162136,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:16,datetime_original,2,2,2,TRUE,quick_succession,138,1205738
158,A1205736,2025-09-27T13:26:20Z,0.15999984741210938,0,JPG+RAW,TRUE,TRUE,72225539,2025:09:27 13:26:15,585,0.00125,6.3,1600,0,1,1,150,3,0.962553328162136,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:15,datetime_original,2,2,2,TRUE,quick_succession,139,1205736
159,A1205739,2025-09-27T13:26:21Z,0.37000012397766113,0,JPG+RAW,TRUE,TRUE,72353684,2025:09:27 13:26:17,422,0.00125,6.3,1600,0,1,1,150,3,0.962553328162136,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:17,datetime_original,2,1,2,TRUE,quick_succession,140,1205739
160,A1205740,2025-09-27T13:26:23Z,2.569999933242798,0,JPG+RAW,TRUE,TRUE,72813137,2025:09:27 13:26:17,679,0.00125,6.3,1600,0,1,1,150,3,0.962553328162136,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:17,datetime_original,2,2,2,TRUE,quick_succession,140,1205740
161,A1205741,2025-09-27T13:26:32Z,8.22000002861023,0,JPG+RAW,TRUE,TRUE,72072591,2025:09:27 13:26:30,201,0.00125,6.3,1250,0,1,1,150,3,1.0360956875637,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:30,datetime_original,2,1,2,TRUE,quick_succession,141,1205741
162,A1205743,2025-09-27T13:26:32Z,0.7300000190734863,0,JPG+RAW,TRUE,TRUE,71712875,2025:09:27 13:26:31,174,0.00125,6.3,1000,0,1,1,150,3,1.0360956875637,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:31,datetime_original,1,1,1,TRUE,quick_succession,142,1205743
163,A1205744,2025-09-27T13:26:32Z,0.06999993324279785,0,JPG+RAW,TRUE,TRUE,71613714,2025:09:27 13:26:32,81,0.00125,6.3,1000,0,1,1,150,3,1.0360956875637,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:32,datetime_original,2,1,2,TRUE,quick_succession,143,1205744
164,A1205746,2025-09-27T13:26:33Z,0.7599999904632568,0,JPG+RAW,TRUE,TRUE,71381623,2025:09:27 13:26:33,57,0.00125,6.3,1000,0,1,1,150,3,1.0360956875637,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:33,datetime_original,2,1,2,TRUE,quick_succession,144,1205746
165,A1205748,2025-09-27T13:26:34Z,1.0499999523162842,0,JPG+RAW,TRUE,TRUE,70951951,2025:09:27 13:26:34,62,0.00125,6.3,1000,0,1,1,150,3,1.0360956875637,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:34,datetime_original,3,1,3,TRUE,quick_succession,145,1205748
166,A1205745,2025-09-27T13:26:36Z,1.6000001430511475,0,JPG+RAW,TRUE,TRUE,71452516,2025:09:27 13:26:32,422,0.00125,6.3,1000,0,1,1,150,3,1.0360956875637,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:32,datetime_original,2,2,2,TRUE,quick_succession,143,1205745
167,A1205752,2025-09-27T13:26:36Z,0.39999985694885254,0,JPG+RAW,TRUE,TRUE,70422958,2025:09:27 13:26:36,62,0.00125,6.3,800,0,1,1,150,3,1.0360956875637,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:36,datetime_original,4,1,4,TRUE,quick_succession,146,1205752
168,A1205749,2025-09-27T13:26:37Z,1,0,JPG+RAW,TRUE,TRUE,70617005,2025:09:27 13:26:34,362,0.00125,6.3,800,0,1,1,150,3,1.0360956875637,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:34,datetime_original,3,2,3,TRUE,quick_succession,145,1205749
169,A1205747,2025-09-27T13:26:37Z,0.25,0,JPG+RAW,TRUE,TRUE,71439685,2025:09:27 13:26:33,487,0.00125,6.3,1000,0,1,1,150,3,1.0360956875637,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:33,datetime_original,2,2,2,TRUE,quick_succession,144,1205747
170,A1205742,2025-09-27T13:26:38Z,0.9100000858306885,0,JPG+RAW,TRUE,TRUE,71915100,2025:09:27 13:26:30,878,0.00125,6.3,1000,0,1,1,150,3,1.0360956875637,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:30,datetime_original,2,2,2,TRUE,quick_succession,141,1205742
171,A1205756,2025-09-27T13:26:38Z,0.10000014305114746,0,JPG+RAW,TRUE,TRUE,69647746,2025:09:27 13:26:37,188,0.00125,6.3,800,0,1,1,150,3,1.0360956875637,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:37,datetime_original,2,1,2,TRUE,quick_succession,147,1205756
172,A1205753,2025-09-27T13:26:39Z,0.17999982833862305,0,JPG+RAW,TRUE,TRUE,70348179,2025:09:27 13:26:36,306,0.00125,6.3,800,0,1,1,150,3,1.0360956875637,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:36,datetime_original,4,2,4,TRUE,quick_succession,146,1205753
173,A1205751,2025-09-27T13:26:40Z,1.7100000381469727,0,JPG+RAW,TRUE,TRUE,70662928,2025:09:27 13:26:35,577,0.00125,6.3,800,0,1,1,150,3,1.0360956875637,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:35,datetime_original,1,1,1,TRUE,quick_succession,148,1205751
174,A1205758,2025-09-27T13:26:41Z,0.46000003814697266,0,JPG+RAW,TRUE,TRUE,69799960,2025:09:27 13:26:38,323,0.00125,6.3,800,0,1,1,150,3,1.0360956875637,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:38,datetime_original,2,1,2,TRUE,quick_succession,149,1205758
175,A1205757,2025-09-27T13:26:41Z,0.3399999141693115,0,JPG+RAW,TRUE,TRUE,69686445,2025:09:27 13:26:37,457,0.00125,6.3,800,0,1,1,150,3,1.0360956875637,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:37,datetime_original,2,2,2,TRUE,quick_succession,147,1205757
176,A1205754,2025-09-27T13:26:41Z,0.18000006675720215,0,JPG+RAW,TRUE,TRUE,69909293,2025:09:27 13:26:36,575,0.00125,6.3,800,0,1,1,150,3,1.0360956875637,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:36,datetime_original,4,3,4,TRUE,quick_succession,146,1205754
177,A1205750,2025-09-27T13:26:43Z,1.4500000476837158,0,JPG+RAW,TRUE,TRUE,70579870,2025:09:27 13:26:34,920,0.00125,6.3,800,0,1,1,150,3,1.0360956875637,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:34,datetime_original,3,3,3,TRUE,quick_succession,145,1205750
178,A1205755,2025-09-27T13:26:44Z,1.7599999904632568,0,JPG+RAW,TRUE,TRUE,69619070,2025:09:27 13:26:36,896,0.00125,6.3,800,0,1,1,150,3,1.0360956875637,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:36,datetime_original,4,4,4,TRUE,quick_succession,146,1205755
179,A1205759,2025-09-27T13:26:45Z,0.49000000953674316,0,JPG+RAW,TRUE,TRUE,70418902,2025:09:27 13:26:38,745,0.00125,6.3,800,0,1,1,150,3,1.0360956875637,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:38,datetime_original,2,2,2,TRUE,quick_succession,149,1205759
180,A1205760,2025-09-27T13:26:45Z,0.5399999618530273,0,JPG+RAW,TRUE,TRUE,71379786,2025:09:27 13:26:42,399,0.00125,6.3,1250,0,1,1,150,3,1.11629419916955,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:42,datetime_original,2,1,2,TRUE,quick_succession,150,1205760
181,A1205762,2025-09-27T13:26:47Z,1.0699999332427979,0,JPG+RAW,TRUE,TRUE,71918024,2025:09:27 13:26:44,306,0.00125,6.3,1600,0,1,1,150,3,1.07532649524476,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:44,datetime_original,2,1,2,TRUE,quick_succession,151,1205762
182,A1205764,2025-09-27T13:26:48Z,0.9600000381469727,0,JPG+RAW,TRUE,TRUE,72093643,2025:09:27 13:26:45,302,0.00125,6.3,1600,0,1,1,150,3,1.07532649524476,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:45,datetime_original,2,1,2,TRUE,quick_succession,152,1205764
183,A1205761,2025-09-27T13:26:49Z,1.7999999523162842,0,JPG+RAW,TRUE,TRUE,71109850,2025:09:27 13:26:42,782,0.00125,6.3,1000,0,1,1,150,3,1.11629419916955,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:42,datetime_original,2,2,2,TRUE,quick_succession,150,1205761
184,A1205766,2025-09-27T13:26:51Z,1.2100000381469727,0,JPG+RAW,TRUE,TRUE,72673960,2025:09:27 13:26:46,503,0.00125,6.3,1600,0,1,1,150,3,1.07532649524476,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:46,datetime_original,2,1,2,TRUE,quick_succession,153,1205766
185,A1205763,2025-09-27T13:26:52Z,1.190000057220459,0,JPG+RAW,TRUE,TRUE,72054894,2025:09:27 13:26:44,822,0.00125,6.3,1600,0,1,1,150,3,1.07532649524476,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:44,datetime_original,2,2,2,TRUE,quick_succession,151,1205763
186,A1205765,2025-09-27T13:26:52Z,0.5999999046325684,0,JPG+RAW,TRUE,TRUE,72259170,2025:09:27 13:26:45,782,0.00125,6.3,1600,0,1,1,150,3,1.07532649524476,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:45,datetime_original,2,2,2,TRUE,quick_succession,152,1205765
187,A1205767,2025-09-27T13:26:54Z,1.8400001525878906,0,JPG+RAW,TRUE,TRUE,73211156,2025:09:27 13:26:46,866,0.00125,6.3,1600,0,1,1,150,3,1.07532649524476,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:26:46,datetime_original,2,2,2,TRUE,quick_succession,153,1205767
188,A1205768,2025-09-27T13:28:00Z,66.12999987602234,0,JPG+RAW,TRUE,TRUE,78098979,2025:09:27 13:28:00,79,0.00125,6.3,320,0,1,1,150,3,1.57704853800327,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:28:00,datetime_original,2,1,2,TRUE,quick_succession,154,1205768
189,A1205769,2025-09-27T13:28:09Z,8.870000123977661,0,JPG+RAW,TRUE,TRUE,78534523,2025:09:27 13:28:00,966,0.00125,6.3,320,0,1,1,150,3,1.57704853800327,1,FE 50-150mm F2 GM,ILCE-1M2,223,2025:09:27 13:28:00,datetime_original,2,2,2,TRUE,quick_succession,154,1205769
190,A1205770,2025-09-27T13:29:30Z,80.73000001907349,0,JPG+RAW,TRUE,TRUE,85386136,2025:09:27 13:29:23,739,0.00125,6.3,1250,0,1,1,150,3,45.8155532161045,1,FE 50-150mm F2 GM,ILCE-1M2,223,2025:09:27 13:29:23,datetime_original,1,1,1,TRUE,quick_succession,155,1205770
191,A1205772,2025-09-27T13:29:30Z,0.36999988555908203,0,JPG+RAW,TRUE,TRUE,105829547,2025:09:27 13:29:27,376,0.00125,6.3,800,0,1,1,67,3,55.3132603471872,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:29:27,datetime_original,1,1,1,TRUE,quick_succession,156,1205772
192,A1205771,2025-09-27T13:29:34Z,4.1600000858306885,0,JPG+RAW,TRUE,TRUE,106808433,2025:09:27 13:29:25,992,0.00125,6.3,800,0,1,1,72,3,49.9952764822816,1,FE 50-150mm F2 GM,ILCE-1M2,223,2025:09:27 13:29:25,datetime_original,1,1,1,TRUE,quick_succession,157,1205771
193,A1205773,2025-09-27T13:30:14Z,39.33999991416931,0,JPG+RAW,TRUE,TRUE,86525029,2025:09:27 13:30:06,826,0.00125,6.3,200,0,1,1,50,3,18.1519335983756,8,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:30:06,datetime_original,1,1,1,TRUE,quick_succession,158,1205773
194,A1205774,2025-09-27T13:30:14Z,0.16000008583068848,0,JPG+RAW,TRUE,TRUE,80672828,2025:09:27 13:30:08,642,0.00125,6.3,160,0,1,1,50,3,23.5253035060396,8,FE 50-150mm F2 GM,ILCE-1M2,223,2025:09:27 13:30:08,datetime_original,1,1,1,TRUE,quick_succession,159,1205774
195,A1205775,2025-09-27T13:31:02Z,48.03999996185303,0,JPG+RAW,TRUE,TRUE,79442592,2025:09:27 13:31:01,146,0.00125,6.3,1600,0,1,1,91,3,1.03509919578594,1,FE 50-150mm F2 GM,ILCE-1M2,223,2025:09:27 13:31:01,datetime_original,2,1,2,TRUE,quick_succession,160,1205775
196,A1205776,2025-09-27T13:31:07Z,5.299999952316284,0,JPG+RAW,TRUE,TRUE,79285512,2025:09:27 13:31:01,676,0.00125,6.3,1600,0,1,1,91,3,1.03509919578594,1,FE 50-150mm F2 GM,ILCE-1M2,223,2025:09:27 13:31:01,datetime_original,2,2,2,TRUE,quick_succession,160,1205776
197,A1205777,2025-09-27T13:31:37Z,29.84999990463257,0,JPG+RAW,TRUE,TRUE,69674631,2025:09:27 13:31:37,61,0.00125,6.3,800,0,1,1,91,3,1.36955157275176,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:31:37,datetime_original,1,1,1,TRUE,quick_succession,161,1205777
198,A1205779,2025-09-27T13:31:58Z,20.41000008583069,0,JPG+RAW,TRUE,TRUE,80528114,2025:09:27 13:31:58,2,0.00125,6.3,500,0,1,1,150,3,2.25750259244796,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:31:58,datetime_original,1,1,1,TRUE,quick_succession,162,1205779
199,A1205778,2025-09-27T13:32:00Z,2.3399999141693115,0,JPG+RAW,TRUE,TRUE,68579284,2025:09:27 13:31:53,736,0.00125,6.3,400,0,1,1,91,3,1.61146262721431,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:31:53,datetime_original,1,1,1,TRUE,quick_succession,163,1205778
200,A1205780,2025-09-27T13:32:05Z,4.710000038146973,0,JPG+RAW,TRUE,TRUE,74823004,2025:09:27 13:31:59,607,0.00125,6.3,640,0,1,1,150,3,2.08258839833911,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:31:59,datetime_original,1,1,1,TRUE,quick_succession,164,1205780
201,A1205781,2025-09-27T13:32:08Z,3.320000171661377,0,JPG+RAW,TRUE,TRUE,77188899,2025:09:27 13:32:06,239,0.00125,6.3,1250,0,1,1,50,3,0.922406186132206,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:32:06,datetime_original,1,1,1,TRUE,quick_succession,165,1205781
202,A1205782,2025-09-27T13:32:15Z,6.869999885559082,0,JPG+RAW,TRUE,TRUE,74183598,2025:09:27 13:32:10,526,0.00125,6.3,500,0,1,1,50,3,1.3383922655594,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:32:10,datetime_original,1,1,1,TRUE,quick_succession,166,1205782
203,A1205783,2025-09-27T13:32:30Z,15.089999914169312,0,JPG+RAW,TRUE,TRUE,104512529,2025:09:27 13:32:30,35,0.00125,6.3,2000,0,1,1,50,3,5.20356906223761,8,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:32:30,datetime_original,1,1,1,TRUE,quick_succession,167,1205783
204,A1205784,2025-09-27T13:32:49Z,19.630000114440918,0,JPG+RAW,TRUE,TRUE,72631748,2025:09:27 13:32:44,598,0.00125,6.3,800,0,1,1,90,3,1.46894872420595,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:32:44,datetime_original,1,1,1,TRUE,quick_succession,168,1205784
205,A1205785,2025-09-27T13:32:59Z,9.869999885559082,0,JPG+RAW,TRUE,TRUE,74872190,2025:09:27 13:32:50,985,0.00125,6.3,800,0,1,1,90,3,1.53,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:32:50,datetime_original,1,1,1,TRUE,quick_succession,169,1205785
206,A1205786,2025-09-27T13:33:16Z,16.230000019073486,0,JPG+RAW,TRUE,TRUE,67923361,2025:09:27 13:33:10,608,0.00125,6.3,400,0,1,1,150,3,1.45860927919831,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:33:10,datetime_original,1,1,1,TRUE,quick_succession,170,1205786
207,A1205787,2025-09-27T13:33:18Z,2.009999990463257,0,JPG+RAW,TRUE,TRUE,68793294,2025:09:27 13:33:11,709,0.00125,6.3,320,0,1,1,150,3,1.51654636170803,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:33:11,datetime_original,1,1,1,TRUE,quick_succession,171,1205787
208,A1205788,2025-09-27T13:34:30Z,72.46000003814697,0,JPG+RAW,TRUE,TRUE,76138684,2025:09:27 13:34:26,455,0.00125,6.3,1000,0,1,1,150,3,1.25040485184561,1,FE 50-150mm F2 GM,ILCE-1M2,223,2025:09:27 13:34:26,datetime_original,1,1,1,TRUE,quick_succession,172,1205788
209,A1205789,2025-09-27T13:34:34Z,4.430000066757202,0,JPG+RAW,TRUE,TRUE,76912277,2025:09:27 13:34:27,798,0.00125,6.3,1000,0,1,1,150,3,1.25040485184561,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 13:34:27,datetime_original,1,1,1,TRUE,quick_succession,173,1205789
210,A1205790,2025-09-27T13:35:05Z,30.079999923706055,0,JPG+RAW,TRUE,TRUE,69684722,2025:09:27 13:35:04,106,0.00125,6.3,250,0,1,1,150,3,1.45860927919831,1,FE 50-150mm F2 GM,ILCE-1M2,223,2025:09:27 13:35:04,datetime_original,1,1,1,TRUE,quick_succession,174,1205790
211,A1205791,2025-09-27T13:35:22Z,17.420000076293945,0,JPG+RAW,TRUE,TRUE,77273045,2025:09:27 13:35:21,148,0.00125,6.3,500,0,1,1,150,3,2.88309272341606,1,FE 50-150mm F2 GM,ILCE-1M2,223,2025:09:27 13:35:21,datetime_original,1,1,1,TRUE,quick_succession,175,1205791
212,A1205792,2025-09-27T13:35:32Z,10.079999923706055,0,JPG+RAW,TRUE,TRUE,76533197,2025:09:27 13:35:23,956,0.00125,6.3,320,0,1,1,150,3,3.00409707600653,1,FE 50-150mm F2 GM,ILCE-1M2,223,2025:09:27 13:35:23,datetime_original,1,1,1,TRUE,quick_succession,176,1205792
