gbif_scientificName,n_records
Lepisorus thunbergianus (Kaulf.) Ching,1
Ludwigia palustris (L.) Elliott,1
Melicope cinerea A.Gray,1
Melinis repens (Willd.) Zizka,1
Metrosideros collina (Forst.) A.Gray,1
Metrosideros polymorpha var. glabrifolia (A.Heller) H.St.John,1
Metrosideros polymorpha var. polymorpha,1
Metrosideros polymorpha var. pumila (A.Heller) Skottsb.,1
Microlepia strigosa var. hirta (Kaulf.) Hillebr.,1
Morelotia affinis (Brongn.) S.T.Blake,1
Myoporum Banks & Sol. ex G.Forst.,1
Myrica faya (Dryand.) Aiton,1
Nephrolepis Schott,1
Nephrolepis biserrata (Sw.) Schott,1
Nephrolepis cordifolia (L.) C.Presl,1
Nephrolepis multiflora (Roxb. ex Griff.) F.M.Jarrett ex C.V.Morton,1
Nephrolepis saligna Carruth.,1
Nuttallanthus canadensis (L.) D.A.Sutton,1
Pellaea ternifolia (Cav.) Fee,1
Peperomia tetraphylla var. parvifolia (C.DC.) O.Deg. & I.Deg.,1
Perrottetia sandwicensis A.Gray,1
Pipturus hawaiiensis H.Lev.,1
Pisonia brunoniana Endl.,1
Pisonia sandwicensis Hillebr.,1
Pisonia umbellifera (J.Forst. & G.Forst.) Seem.,1
Pittosporum Gaertn.,1
Pityrogramma calomelanos (L.) Link,1
Pleopeltis thunbergiana Kaulf.,1
Psychotria hawaiiensis (A.Gray) Fosberg,1
Pteridium aquilinum subsp. decompositum (Gaudich.) Lamoureux ex J.A.Thomson,1
Pteris cretica L.,1
Pyracantha angustifolia (Franch.) C.K.Schneid.,1
Sadleria rigida Copel.,1
Sapindus oahuensis Hillebr. ex Radlk.,1
Scaevola chamissoniana Gaudich.,1
Scaevola chamissoniana var. bracteosa Hillebr.,1
Schizachyrium condensatum (Kunth) Nees,1
"Schizachyrium microstachyum (Desv.) Roseng., B.R.Arrill. & Izag.",1
Solanum americanum Mill.,1
Solanum pseudocapsicum L.,1
Sporobolus indicus (L.) R.Br.,1
Stenogyne Benth.,1
Stenogyne rotundifolia A.Gray,1
Styphelia tameiameiae (Cham.) F.Muell.,1
Trifolium repens subsp. repens,1
Trifolium repens var. repens,1
Vaccinium reticulatum Sm.,1
Zanthoxylum dipetalum H.Mann,1
