catalogNumber,bish_key,bish_det,bpbm_det,conflict_kind,occurrence_page,image_url
656953,5956572100,Ludwigia palustris,Hedyotis biflora (Leptopetalum),gross (Onagraceae vs Rubiaceae),https://www.gbif.org/occurrence/5956572100,https://editedimages.s3-accelerate.amazonaws.com/BISH1134728.webp
668168,5956242005,Corylus cornuta,Corylus americana,congeneric,https://www.gbif.org/occurrence/5956242005,https://editedimages.s3-accelerate.amazonaws.com/BISH1154305.webp
770507,5956554270,Pyracantha koidzumii,Pyracantha angustifolia,congeneric,https://www.gbif.org/occurrence/5956554270,https://editedimages.s3-accelerate.amazonaws.com/BISH1018164.webp
656108,5956481103,Cerastium fontanum/holosteoides,Cerastium glomeratum,congeneric (review),https://www.gbif.org/occurrence/5956481103,https://editedimages.s3-accelerate.amazonaws.com/BISH1140620.webp
