"key","scientificName","species","family","genus","recordedBy","collector","eventDate","year","month","day","catalogNumber","institutionCode","collectionCode","decimalLatitude","decimalLongitude"
"37298759","Juglans regia L.","Juglans regia","Juglandaceae","Juglans","Anderson, S.J. Davis, J.; Cuddihy, L.W.","Anderson","1980-10-01",1980,10,1,"656422","BPBM","BISH",19.4333,-155.283
"37516803","Medicago lupulina L.","Medicago lupulina","Fabaceae","Medicago","Cuddihy, L.W.","Cuddihy","1980-10-01",1980,10,1,"656549","BPBM","BISH",19.4333,-155.283
"38275165","Psidium cattleianum var. cattleianum","Psidium cattleianum","Myrtaceae","Psidium","Davis, J.","Davis","1980-10-23",1980,10,23,"656757","BPBM","BISH",19.4333,-155.283
"38571489","Scaevola chamissoniana var. bracteosa Hillebr.","Scaevola chamissoniana","Goodeniaceae","Scaevola","Cuddihy, L.W.","Cuddihy","1980-10-01",1980,10,1,"656412","BPBM","BISH",19.4333,-155.283
"38755673","Stachytarpheta australis Moldenke","Stachytarpheta cayennensis","Verbenaceae","Stachytarpheta","Cuddihy, L.W.","Cuddihy","1980-10-01",1980,10,1,"657125","BPBM","BISH",19.4333,-155.283
"38774283","Stenogyne scrophularioides Benth.","Stenogyne scrophularioides","Lamiaceae","Stenogyne","Davis, J.","Davis","1980-10-08",1980,10,8,"667590","BPBM","BISH",19.45,-155.3
"1090252426","Stenogyne Benth.",,"Lamiaceae","Stenogyne","Anderson, S.J.","Anderson","1980-10-08",1980,10,8,"656455","BPBM","BISH",19.4333,-155.283
"5956156105","Castanea dentata (Marshall) Borkh.","Castanea dentata","Fagaceae","Castanea","Anderson, S.J.; Cuddihy, L.W.; Davis, J.","Anderson","1980-10-01",1980,10,1,"656367","BISH",,19.433333,-155.283333
"5956184278","Castanea dentata (Marshall) Borkh.","Castanea dentata","Fagaceae","Castanea","Cuddihy, L.W.; Davis, J.; Anderson, S.","Cuddihy","1980-10-01",1980,10,1,"667524","BISH",,19.433333,-155.283333
"5956184393","Medicago lupulina L.","Medicago lupulina","Fabaceae","Medicago","Cuddihy, L.W.","Cuddihy","1980-10-01",1980,10,1,"656549","BISH",,19.433333,-155.283333
"5956238422","Castanea dentata (Marshall) Borkh.","Castanea dentata","Fagaceae","Castanea","Cuddihy, L.W.; Davis, J.; Anderson, S.","Cuddihy","1980-10-01",1980,10,1,"656366","BISH",,19.433333,-155.283333
"5956242005","Corylus cornuta Marshall","Corylus cornuta","Betulaceae","Corylus","Cuddihy, L.W.; Davis, J.; Anderson, S.","Cuddihy","1980-10-01",1980,10,1,"668168","BISH",,19.433333,-155.283333
"5956244224","Clermontia parviflora Gaudich. ex A.Gray","Clermontia parviflora","Campanulaceae","Clermontia","Davis, J.","Davis","1980-10-22",1980,10,22,"656617","BISH",,19.433333,-155.283333
"5956347969","Juglans regia L.","Juglans regia","Juglandaceae","Juglans","Anderson, S.J.; Cuddihy, L.W.; Davis, J.","Anderson","1980-10-01",1980,10,1,"667565","BISH",,19.433333,-155.283333
"5956382953","Juglans regia L.","Juglans regia","Juglandaceae","Juglans","Anderson, S.J.; Davis, J.; Cuddihy, L.W.","Anderson","1980-10-01",1980,10,1,"656422","BISH",,19.433333,-155.283333
"5956418923","Carya illinoinensis (Wangenh.) K.Koch","Carya illinoinensis","Juglandaceae","Carya","Anderson, S.J.; Davis, J.; Cuddihy, L.W.","Anderson","1980-10-01",1980,10,1,"656421","BISH",,19.433333,-155.283333
"5956432110","Stachytarpheta australis Moldenke","Stachytarpheta cayennensis","Verbenaceae","Stachytarpheta","Cuddihy, L.W.","Cuddihy","1980-10-01",1980,10,1,"657125","BISH",,19.433333,-155.283333
"5956437823","Scaevola chamissoniana Gaudich.","Scaevola chamissoniana","Goodeniaceae","Scaevola","Cuddihy, L.W.","Cuddihy","1980-10-01",1980,10,1,"656412","BISH",,19.433333,-155.283333
"5956472582","Psidium cattleianum var. cattleianum","Psidium cattleianum","Myrtaceae","Psidium","Davis, J.","Davis","1980-10-23",1980,10,23,"656757","BISH",,19.433333,-155.283333
"5956495022","Stenogyne scrophularioides Benth.","Stenogyne scrophularioides","Lamiaceae","Stenogyne","Davis, J.","Davis","1980-10-08",1980,10,8,"667590","BISH",,19.45,-155.3
"5956513661","Coprosma rhynchocarpa A.Gray","Coprosma rhynchocarpa","Rubiaceae","Coprosma","Cuddihy, L.W.","Cuddihy","1980-10-01",1980,10,1,"656924","BISH",,19.433333,-155.283333
"5956680933","Cyrtandra platyphylla A.Gray","Cyrtandra platyphylla","Gesneriaceae","Cyrtandra","Cuddihy, L.W.","Cuddihy","1980-10-01",1980,10,1,"656385","BISH",,19.433333,-155.283333
"37544175","Melicope pseudoanisata (Rock) T.G.Hartley & B.C.Stone","Melicope pseudoanisata","Rutaceae","Melicope","Cuddihy, L.W.","Cuddihy","1980-11-01",1980,11,1,"657009","BPBM","BISH",19.4333,-155.283
"5956399821","Melicope pseudoanisata (Rock) T.G.Hartley & B.C.Stone","Melicope pseudoanisata","Rutaceae","Melicope","Cuddihy, L.W.","Cuddihy","1980-11-01",1980,11,1,"657009","BISH",,19.433333,-155.283333
"37544043","Melicope pseudoanisata (Rock) T.G.Hartley & B.C.Stone","Melicope pseudoanisata","Rutaceae","Melicope","Cuddihy, L.W. Kubo, R.; Yoshida, L.","Cuddihy","1979-09-20",1979,9,20,"657006","BPBM","BISH",19.45,-155.283
"37607948","Modiola caroliniana (L.) G.Don","Modiola caroliniana","Malvaceae","Modiola","Clarke, G. Cuddihy, L.W.; Kubo, R.; Yoshida, L.","Clarke","1979-09-20",1979,9,20,"770290","BPBM","BISH",19.4333,-155.283
"5956165561","Modiola caroliniana (L.) G.Don","Modiola caroliniana","Malvaceae","Modiola","Clarke, G.; Cuddihy, L.W.; Kubo, R.; Yoshida, L.","Clarke","1979-09-20",1979,9,20,"770290","BISH",,19.433333,-155.283333
"5956340622","Melicope pseudoanisata (Rock) T.G.Hartley & B.C.Stone","Melicope pseudoanisata","Rutaceae","Melicope","Cuddihy, L.W.; Kubo, R.; Yoshida, L.","Cuddihy","1979-09-20",1979,9,20,"657006","BISH",,19.45,-155.283333
"36875624","Fragaria vesca L.","Fragaria vesca","Rosaceae","Fragaria","Cuddihy, L.W. State ESP team","Cuddihy","1979-12-18",1979,12,18,"656881","BPBM","BISH",19.45,-155.283
"36877550","Fragaria vesca L.","Fragaria vesca","Rosaceae","Fragaria","Cuddihy, L.W. State ESP team","Cuddihy","1979-12-18",1979,12,18,"770510","BPBM","BISH",19.45,-155.283
"37424148","Leucanthemum vulgare Lam.","Leucanthemum vulgare","Asteraceae","Leucanthemum","Cuddihy, L.W. State ESP team","Cuddihy","1979-12-18",1979,12,18,"656171","BPBM","BISH",19.4333,-155.283
"38360779","Pyracantha koidzumii (Hayata) Rehder","Pyracantha koidzumii","Rosaceae","Pyracantha","Cuddihy, L.W. State ESP team","Cuddihy","1979-12-20",1979,12,20,"656889","BPBM","BISH",19.45,-155.3
"38362694","Pyracantha angustifolia (Franch.) C.K.Schneid.","Pyracantha angustifolia","Rosaceae","Pyracantha","Cuddihy, L.W. State EPS team","Cuddihy","1979-12-20",1979,12,20,"770507","BPBM","BISH",19.45,-155.3
"39640308","Verbena litoralis Kunth","Verbena litoralis","Verbenaceae","Verbena","Davis, J. State ESP team","Davis","1979-12-18",1979,12,18,"567131","BPBM","BISH",19.4333,-155.283
"5956394604","Pyracantha koidzumii (Hayata) Rehder","Pyracantha koidzumii","Rosaceae","Pyracantha","Cuddihy, L.W.; State ESP team","Cuddihy","1979-12-20",1979,12,20,"656889","BISH",,19.45,-155.3
"5956400651","Fragaria vesca L.","Fragaria vesca","Rosaceae","Fragaria","Cuddihy, L.W.; State ESP team","Cuddihy","1979-12-18",1979,12,18,"656881","BISH",,19.45,-155.283333
"5956536359","Leucanthemum vulgare Lam.","Leucanthemum vulgare","Asteraceae","Leucanthemum","Cuddihy, L.W.; State ESP team","Cuddihy","1979-12-18",1979,12,18,"656171","BISH",,19.433333,-155.283333
"5956554270","Pyracantha koidzumii (Hayata) Rehder","Pyracantha koidzumii","Rosaceae","Pyracantha","Cuddihy, L.W.; State EPS team","Cuddihy","1979-12-20",1979,12,20,"770507","BISH",,19.45,-155.3
"5956588337","Verbena litoralis Kunth","Verbena litoralis","Verbenaceae","Verbena","Davis, J.; State ESP team","Davis","1979-12-18",1979,12,18,"567131","BISH",,19.433333,-155.283333
"5956619100","Fragaria vesca L.","Fragaria vesca","Rosaceae","Fragaria","Cuddihy, L.W.; State ESP team","Cuddihy","1979-12-18",1979,12,18,"770510","BISH",,19.45,-155.283333
"2883333073","Coprosma ernodeoides A.Gray","Coprosma ernodeoides","Rubiaceae","Coprosma","O Degener|I Degener","Degener","1977-06-29",1977,6,29,"AK153974","AK","AK",19.435333,-155.279944
"5070648998","Sapindus saponaria var. saponaria","Sapindus saponaria","Sapindaceae","Sapindus","Otto Degener; Isa Degener","Degener","1977-09-18",1977,9,18,"IND-0079457","IND",,19.440783,-155.3028
"5070652840","Sapindus saponaria var. saponaria","Sapindus saponaria","Sapindaceae","Sapindus","Otto Degener; Isa Degener","Degener","1977-09-18",1977,9,18,"IND-0079456","IND",,19.440783,-155.3028
"1897828776","Solanum americanum Mill.","Solanum americanum","Solanaceae","Solanum","O Degener|I Degener","Degener","1976-01-23",1976,1,23,"AK143453","AK","AK",19.433333,-155.283333
"5130152569","Stenogyne rotundifolia A.Gray","Stenogyne rotundifolia","Lamiaceae","Stenogyne","Bulmer, C.","Bulmer","1975-03-01T00:00",1975,3,1,"K001196440","K","Herbarium",19.45,-155.3
"1929392173","Hibiscadelphus giffardianus Rock","Hibiscadelphus giffardianus","Malvaceae","Hibiscadelphus","J. K. Baker","Baker","1975-10-14",1975,10,14,"37506","NY","NY",19.439338,-155.305384
"1930408787","Hibiscadelphus giffardianus Rock","Hibiscadelphus giffardianus","Malvaceae","Hibiscadelphus","J. K. Baker","Baker","1975-10-14",1975,10,14,"37507","NY","NY",19.439338,-155.305384
"1930346350","Hibiscadelphus hualalaiensis Rock","Hibiscadelphus hualalaiensis","Malvaceae","Hibiscadelphus","J. K. Baker","Baker","1975-11-24",1975,11,24,"37519","NY","NY",19.439338,-155.305384
"1928617827","Hibiscadelphus hualalaiensis Rock","Hibiscadelphus hualalaiensis","Malvaceae","Hibiscadelphus","J. K. Baker","Baker","1975-12-06",1975,12,6,"37520","NY","NY",19.439338,-155.305384
"1928881444","Hibiscadelphus giffardianus Rock","Hibiscadelphus giffardianus","Malvaceae","Hibiscadelphus","J. K. Baker","Baker","1975-12-08",1975,12,8,"37508","NY","NY",19.439338,-155.305384
"1930529648","Hibiscadelphus hualalaiensis Rock","Hibiscadelphus hualalaiensis","Malvaceae","Hibiscadelphus","J. K. Baker","Baker","1975-12-03",1975,12,3,"37518","NY","NY",19.439338,-155.305384
"37573567","Metrosideros polymorpha Gaudich.","Metrosideros polymorpha","Myrtaceae","Metrosideros","Herat, T. Herat, R.; Higashino, P.K.","Herat","1974-06-12",1974,6,12,"410687","BPBM","BISH",19.45,-155.3
"5956606516","Metrosideros polymorpha Gaudich.","Metrosideros polymorpha","Myrtaceae","Metrosideros","Herat, T.; Herat, R.; Higashino, P.K.","Herat","1974-06-12",1974,6,12,"410687","BISH",,19.45,-155.3
"5938780333","Myoporum Banks & Sol. ex G.Forst.",,"Scrophulariaceae","Myoporum","Otto Degener|Isa (Irmgard) Degener","Degener","1969-06-09",1969,6,9,"SP126392","NMNZ","WELT",19.44,-155.3
"5070652823","Dodonaea viscosa (L.) Jacq.","Dodonaea viscosa","Sapindaceae","Dodonaea","Otto Degener","Degener","1967-01-29",1967,1,29,"IND-0080229","IND",,19.441019,-155.30291
"3968555430","Myrsine lessertiana A.DC.","Myrsine lessertiana","Primulaceae","Myrsine","Sherwin Carlquist","Carlquist","1967-03-16",1967,3,16,"RSA0460761","RSA","VascularPlants",19.437511,-155.303298
"4010615009","Sophora chrysophylla (Salisb.) Seem.","Sophora chrysophylla","Fabaceae","Sophora","Sherwin Carlquist","Carlquist","1967-03-16",1967,3,16,"RSA0483546","RSA","VascularPlants",19.437511,-155.303298
"3949998486","Charpentiera obovata Gaudich.","Charpentiera obovata","Amaranthaceae","Charpentiera","Sherwin Carlquist","Carlquist","1966-07-24",1966,7,24,"RSA0445765","RSA","VascularPlants",19.437511,-155.303298
"3968554907","Pisonia umbellifera (J.Forst. & G.Forst.) Seem.","Ceodes umbellifera","Nyctaginaceae","Ceodes","Sherwin Carlquist","Carlquist","1966-07-24",1966,7,24,"RSA0468092","RSA","VascularPlants",19.437511,-155.303298
"37573027","Metrosideros polymorpha Gaudich.","Metrosideros polymorpha","Myrtaceae","Metrosideros","Fosberg, F.R.","Fosberg","1951-02-11",1951,2,11,"60279","BPBM","BISH",19.4333,-155.3
"5956233363","Metrosideros polymorpha Gaudich.","Metrosideros polymorpha","Myrtaceae","Metrosideros","Fosberg, F.R.","Fosberg","1951-02-11",1951,2,11,"60279","BISH",,19.433333,-155.3
"5906963611","Perrottetia sandwicensis A.Gray","Perrottetia sandwicensis","Dipentodontaceae","Perrottetia","Professor Grady Webster Junior|Professor Robert Wilbur","Wilbur","1948-06-18",1948,6,18,"SP125738","NMNZ","WELT",19.44,-155.303
"5938779477","Myrsine lessertiana A.DC.","Myrsine lessertiana","Primulaceae","Myrsine","Joseph Rock","Rock","1948-06-18",1948,6,18,"SP127110","NMNZ","WELT",19.44,-155.303
"6289241534","Pisonia brunoniana Endl.","Ceodes brunoniana","Nyctaginaceae","Ceodes","Professor Grady Webster Junior|Professor Robert Wilbur","Wilbur","1948-06-18",1948,6,18,"SP059017","NMNZ","WELT",19.44,-155.303
"1897842200","Melicope cinerea A.Gray","Melicope cinerea","Rutaceae","Melicope","L M Cranwell|O H Selling|C Skottsberg","Skottsberg","1938-09-19",1938,9,19,"AK25346","AK","AK",19.446944,-155.303611
"1927879332","Peperomia cookiana C.DC.","Peperomia cookiana","Piperaceae","Peperomia","T. G. Yuncker","Yuncker","1933-03-09",1933,3,9,"180019","NY","NY",19.439338,-155.305384
"1930051621","Peperomia cookiana C.DC.","Peperomia cookiana","Piperaceae","Peperomia","T. G. Yuncker","Yuncker","1933-03-09",1933,3,9,"180020","NY","NY",19.439338,-155.305384
"1930638740","Hibiscadelphus giffardianus Rock","Hibiscadelphus giffardianus","Malvaceae","Hibiscadelphus","O. Degener","Degener","1930-04-15",1930,4,15,"221720","NY","NY",19.437239,-155.303514
"2382913489","Peperomia tetraphylla var. parvifolia (C.DC.) O.Deg. & I.Deg.","Peperomia tetraphylla","Piperaceae","Peperomia","O. Degener","Degener","1930-04-15",1930,4,15,"4127450","NY","NY",19.439338,-155.305384
"2382919373","Peperomia cookiana C.DC.","Peperomia cookiana","Piperaceae","Peperomia","O. Degener","Degener","1930-04-15",1930,4,15,"4125904","NY","NY",19.439338,-155.305384
"2382928419","Peperomia cookiana C.DC.","Peperomia cookiana","Piperaceae","Peperomia","O. Degener","Degener","1930-04-15",1930,4,15,"4125903","NY","NY",19.437924,-155.302981
"2562918050","Alyxia stellata (J.R.Forst. & G.Forst.) Roem. & Schult.","Alyxia stellata","Apocynaceae","Alyxia","O. Degener","Degener","1930-04-15",1930,4,15,"4160540","NY","NY",19.437239,-155.303514
"2242404039","Sophora chrysophylla (Salisb.) Seem.","Sophora chrysophylla","Fabaceae","Sophora","Otto Degener","Degener","1929-07-09",1929,7,9,"KHD00009805","DBG","KHD",19.43813,-155.30306
"2382927835","Peperomia cookiana C.DC.","Peperomia cookiana","Piperaceae","Peperomia","H. Wiebke","Wiebke","1929-07-09",1929,7,9,"4125908","NY","NY",19.439338,-155.305384
"1928075593","Achillea millefolium L.","Achillea millefolium","Asteraceae","Achillea","O. Degener","Degener","1929-12-07",1929,12,7,"216597","NY","NY",19.439338,-155.305384
"37574821","Metrosideros polymorpha Gaudich.","Metrosideros polymorpha","Myrtaceae","Metrosideros","Rock, J.F.C.","Rock","1916-04-23",1916,4,23,"427629","BPBM","BISH",19.4333,-155.3
"5956594059","Metrosideros polymorpha Gaudich.","Metrosideros polymorpha","Myrtaceae","Metrosideros","Rock, J.F.C.","Rock","1916-04-23",1916,4,23,"427629","BISH",,19.433333,-155.3
"694640788","Sapindus saponaria L.","Sapindus saponaria","Sapindaceae","Sapindus","Forbes, C.N.","Forbes","1915-07-01",1915,7,1,"P05188070","MNHN","P",19.4396,-155.30032
"6289242444","Straussia hillebrandii Rock","Psychotria hawaiiensis","Rubiaceae","Psychotria","Joseph Rock","Rock","1915-08",1915,8,,"SP127829","NMNZ","WELT",19.44,-155.3031
"6289255475","Straussia hillebrandii Rock","Psychotria hawaiiensis","Rubiaceae","Psychotria","Joseph Rock","Rock","1911-04",1911,4,,"SP127827","NMNZ","WELT",19.44,-155.3031
"1928567891","Solanum pseudocapsicum L.","Solanum pseudocapsicum","Solanaceae","Solanum","O. Degener","Degener",,,,,"00828244","NY","NY",19.439338,-155.305384
"2610081066","Geranium carolinianum L.","Geranium carolinianum","Geraniaceae","Geranium","Francis R. Fosberg","Fosberg",,,,,"RSA0148324","RSA","RSA",19.438086,-155.300929
"2818058301","Hibiscadelphus giffardianus Rock","Hibiscadelphus giffardianus","Malvaceae","Hibiscadelphus","Degener,O. & Degener,I. Plants of Hawaii, ex herbarium Otto Degener 30818","Degener",,,,,"0101041","W","Herbarium W",19.44694,-155.30361
