accepted_name,family,common_name,status,rank,n_records,notes,verbatim_names
Barbellopsis trichophora,Meteoriaceae,moss,?,species,1,bryophyte,Barbellopsis trichophora (Mont.) W.R.Buck [1]
Ectropothecium zollingeri,Hypnaceae,moss,?,species,1,bryophyte,Ectropothecium zollingeri (Muell.Hal.) A.Jaeger [1]
Floribundaria floribunda,Meteoriaceae,moss,?,species,1,bryophyte,Floribundaria floribunda (Dozy & Molk.) M.Fleisch. [1]
Pseudoscleropodium purum,Brachytheciaceae,moss,Nat,species,3,bryophyte,Pseudoscleropodium purum (Hedw.) M.Fleisch. [3]
