Place, lat, lon
Steaming Bluff, 19.429861725938853, -155.26708812468945 
Kilauea Military Camp, 19.432749142458718, -155.27388255518662 
Kilauea Overlook, 19.4234030453238, -155.28419529900984 
Kilauea Iki Overlook, 19.416631037925487, -155.242908467016 
Devastation Parking Lot, 19.40617019385751, -155.2530004416855 
