"taxon","family","life","status","iucn","last","role"
"Pyracantha angustifolia","Rosaceae","shrub","—","LC",1979,"present"
"Pyracantha koidzumii","Rosaceae","shrub","alien","EN",1979,"present"
"Coprosma menziesii","Rubiaceae","shrub","endemic","NE",1997,"collect"
"Coprosma ochracea","Rubiaceae","shrub","endemic","VU",2009,"observe"
"Psychotria hawaiiensis","Rubiaceae","tree","endemic","NT",2009,"observe"
"Melicope cinerea","Rutaceae","tree","endemic","EN",1938,"observe"
"Zanthoxylum dipetalum","Rutaceae","tree","endemic","VU",2009,"observe"
"Dodonaea viscosa","Sapindaceae","tree","indigenous","LC",1998,"present"
"Sapindus oahuensis","Sapindaceae","tree","endemic","VU",1998,"observe"
"Sapindus saponaria","Sapindaceae","tree","indigenous","LC",2009,"present"
"Myoporum sandwicense","Scrophulariaceae","tree","indigenous","LC",2024,"present"
"Nothocestrum longifolium","Solanaceae","tree","—","NT",1980,"present"
"Physalis peruviana","Solanaceae","herb","alien","LC",1980,"present"
"Solanum pseudocapsicum","Solanaceae","shrub","alien","NE",,"collect"
"Wikstroemia sandwicensis","Thymelaeaceae","shrub","endemic","VU",1980,"observe"
"Pipturus albidus","Urticaceae","tree","endemic","LC",1989,"collect"
"Stachytarpheta cayennensis","Verbenaceae","herb","—","NE",1980,"present"
