key,scientificName,family,recordedBy,recordNumber,eventDate,verbatimEventDate,countryCode,stateProvince,county,locality,verbatimLocality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,verbatimElevation,habitat,reproductiveCondition,occurrenceRemarks,fieldNotes,identifiedBy,dateIdentified,typeStatus,institutionCode,collectionCode,catalogNumber,preparations
1091096557,Metrosideros carminea W.R.B.Oliv.,Myrtaceae,David R. Given|J Bartlett,11544,1979-01-17,17-1-1979,NZ,North Auckland Land District,,,"Highest point on road, Herekino Gorge, North Auckland",-35.21,173.19,,,,In shade in light forest. One plant only noted.,,,,John K. Bartlett,,,CHR,CHR,CHR 355668,
1091261964,Metrosideros parkinsonii Buchanan,Myrtaceae,Tony Druce,,1979-01,JAN-1979,NZ,Nelson Land District,,,"Northwest Nelson, Wakamarama ranges, Mount Stevens",-40.796295,172.459026,,980.0,980,Forest on steep rocky slope.,,,,Anthony P. Druce,1979-01-01T00:00:00,,CHR,CHR,CHR 365611,
1897703089,Metrosideros excelsa Sol. ex Gaertn.,Myrtaceae,D J Court,,1979-01-02,,NZ,,,,"New Zealand, North Island, Eastern Northland Ecological Region, Eastern Northland & Islands Ecological District, Cavalli Islands, Motukawanui Island, *",-35.0,173.95,,,,,,,,,,,AK,AK,AK150286,
1897703908,Metrosideros perforata (J.R.Forst. & G.Forst.) A.Rich.,Myrtaceae,D J Court,,1979-01-01,,NZ,,,,"New Zealand, North Island, Eastern Northland Ecological Region, Eastern Northland & Islands Ecological District, Cavalli Islands, Motukawanui Island, *",-35.0,173.95,,,,,,,,,,,AK,AK,AK150287,
3708948029,Metrosideros angustifolius (L.) J.E.Sm.,Myrtaceae,"Grobbelaar, N",2185,1979-01-18,,ZA,Western Cape,,CLANWILLIAM; WALL VAN BERGSTROOM IN PAKHUISPAS NET NOORD VAN LEIPOLDT SE GRAF,,-32.375,18.875,,,,,,,,,,,PRE,,PRE0667070-0,
4072830457,Metrosideros collina subsp. polymorpha (Gaudich.) Rock,Myrtaceae,Lamb S.H.,17,1979-01-31,[31/1/1979],,,,25 miles from Hilo on Saddle Road,,,,,,,,,,,,,,MeiseBG,BR,BR0000030843097,HerbariumSheet
4073203116,Metrosideros collina subsp. polymorpha (Gaudich.) Rock,Myrtaceae,Lamb S.H.,6,1979-01-17,[17/1/1979],US,,,Wahaulu,,,,,,,,,,,,,,MeiseBG,BR,BR0000030843103,HerbariumSheet
4520755831,Metrosideros cacuminum J.W.Dawson,Myrtaceae,Hugh Shaw MacKee,,1979-01-05,05 Jan 1979,,,,,,,,,,,,,,,,,,NMNZ,WELT,SP113348,
4982787805,Metrosideros diffusa (G.Forst.) Sm.,Myrtaceae,"Clarkson, B.D.",,1979-01,,NZ,North Island,South Auckland,Mt Tarawera,,-38.219551,176.511108,,,,,,,,"Dickinson, B.R.",1979-01-10T00:00:00,,NZFRI,,NZFRI 13244,
5956259218,Metrosideros polymorpha Gaudich.,Myrtaceae,"Young, D.A.; Lowry II, P.P.",1659,1979-01-19,19-Jan-79,US,Hawaii,,"Hwy H20, 4-5 mi outside of Hilo on Saddle Road, W of Hilo",,19.683333,-155.183333,,610.0,2000 ft,,,,,"Wagner, W.L.; Herbst, D.R.; Sohmer, S.H.",,NotAType,BISH,,506530,
